source_id,namespace,input_family,provider,transport,criticality,parser_id,max_age_seconds,implementation_state,live_state,formal_authority,next_gate
CRT-CONN-FX-FRED-BROAD-USD-PROXY-001,AS-L2,DOLLAR_STRENGTH_PROXY,Federal Reserve Bank of St. Louis / Board of Governors,HTTPS_CSV,CRITICAL_FAIL_CLOSED,FRED_LATEST_CSV_V1,864000,OFFLINE_PARSER_PASS,NETWORK_FETCH_NOT_RUN_IN_SANDBOX,NONE,EXTERNAL_NETWORK_SMOKE_TEST
CRT-CONN-BTC-DERIV-BINANCE-OI-001,AS-L4,OPEN_INTEREST,Binance USD-M Futures,HTTPS_JSON,CRITICAL_FAIL_CLOSED,BINANCE_OI_V1,300,OFFLINE_PARSER_PASS,NETWORK_FETCH_NOT_RUN_IN_SANDBOX,NONE,EXTERNAL_NETWORK_SMOKE_TEST
CRT-CONN-BTC-DERIV-BINANCE-FUNDING-001,AS-L4,FUNDING_RATE,Binance USD-M Futures,HTTPS_JSON,CRITICAL_FAIL_CLOSED,BINANCE_FUNDING_V1,32400,OFFLINE_PARSER_PASS,NETWORK_FETCH_NOT_RUN_IN_SANDBOX,NONE,EXTERNAL_NETWORK_SMOKE_TEST
CRT-CONN-BTC-DERIV-BINANCE-LIQ-PROBE-002,AS-L4,LIQUIDATION_CONNECTIVITY_PROBE,Binance USD-M Futures,WEBSOCKET_MARKET_STREAM,DIAGNOSTIC_ONLY,BINANCE_FORCE_ORDER_V1,120,DECLARED,ROUTE_OFFLINE_VERIFIED_LIVE_NOT_RUN,NONE,24H_LIVE_SHADOW
CRT-CONN-BTC-DERIV-LIQ-AGGREGATOR-001,AS-L4,LIQUIDATION_AGGREGATES,CRT Persistent Liquidation Aggregator,LOCAL_VERIFIED_JSON_SNAPSHOT,CRITICAL_FAIL_CLOSED,CRT_LIQ_AGGREGATE_SNAPSHOT_V1,120,LIVE_SHADOW_HARNESS_READY_NOT_RUN,AGGREGATOR_OFFLINE_E2E_PASS_LIVE_NOT_RUN,NONE,24H_LIVE_SHADOW
CRT-CONN-BTC-ONCHAIN-COINMETRICS-COMMUNITY-001,AS-L5,ONCHAIN_VALUE,Coin Metrics Community API,HTTPS_JSON,NONCRITICAL_DISCLOSE_MISSING,COINMETRICS_CAPS_V1,172800,PARSER_OFFLINE_PASS_LIVE_NOT_RUN,NETWORK_FETCH_NOT_RUN_IN_SANDBOX,NONE,EXTERNAL_NETWORK_SMOKE_TEST
CRT-CONN-ISSUER-SEC-STRATEGY-001,ISSUER,ISSUER_ANNOUNCEMENT,SEC EDGAR Strategy Inc CIK 0001050446,HTTPS_JSON,ISSUER_SCOPE_FAIL_CLOSED,SEC_SUBMISSIONS_RECENT_V1,7200,LOCAL_PARSER_PASS_LIVE_BASELINE,LIVE_BASELINE_VALID,NONE,NEW_EVENT_REANALYSIS_REPLAY
CRT-CONN-ISSUER-PRESS-STRATEGY-001,ISSUER,ISSUER_ANNOUNCEMENT,Strategy official press archive,HTTPS_HTML,ISSUER_SCOPE_FAIL_CLOSED,STRATEGY_PRESS_LINKS_V1,7200,LOCAL_PARSER_PASS_LIVE_BASELINE,LIVE_BASELINE_VALID,NONE,NEW_EVENT_REANALYSIS_REPLAY
CRT-CONN-ISSUER-SEC-STRIVE-001,ISSUER,ISSUER_ANNOUNCEMENT,SEC EDGAR Strive Inc CIK 0001920406,HTTPS_JSON,ISSUER_SCOPE_FAIL_CLOSED,SEC_SUBMISSIONS_RECENT_V1,7200,LOCAL_PARSER_PASS_LIVE_BASELINE,LIVE_BASELINE_VALID,NONE,NEW_EVENT_REANALYSIS_REPLAY
CRT-CONN-ISSUER-PRESS-STRIVE-001,ISSUER,ISSUER_ANNOUNCEMENT,Strive official Q4 press feed,HTTPS_JSON,ISSUER_SCOPE_FAIL_CLOSED,STRIVE_Q4_PRESS_FEED_V1,7200,LOCAL_PARSER_PASS_LIVE_BASELINE,LIVE_BASELINE_VALID,NONE,NEW_EVENT_REANALYSIS_REPLAY
CRT-CONN-MSTR-ASST-IBKR-EQUITY-DAILY-001,MARKET_HEALTH,EQUITY_DAILY_BARS,Interactive Brokers TWS API,REQ_HISTORICAL_DATA_READ_ONLY,CRITICAL_FAIL_CLOSED,CRT_IBKR_EQUITY_DAILY_V1,NONE,LIVE_READ_ONLY_COLLECTOR_PASS,LIVE_VALID_42_SESSIONS,NONE,READ_ONLY_LIVE_COLLECTION
CRT-CONN-BTC-BINANCE-EXACT-CLOSE-001,MARKET_HEALTH,BTC_EXACT_EQUITY_CLOSE,Binance Spot public market data,HTTPS_JSON_READ_ONLY,CRITICAL_FAIL_CLOSED,CRT_BTC_EXACT_CLOSE_V1,NONE,LIVE_PUBLIC_READ_ONLY_COLLECTION_PASS,LIVE_VALID_3_REQUIRED_MARKS,NONE,READ_ONLY_LIVE_COLLECTION
CRT-CONN-MSTR-ASST-IBKR-OPTIONS-LIMITED-001,MARKET_HEALTH,OPTIONS_DAILY_LIMITED,Interactive Brokers TWS API,REQ_SEC_DEF_OPT_PARAMS_AND_REQ_MKT_DATA_READ_ONLY,CRITICAL_FAIL_CLOSED,CRT_IBKR_OPTIONS_LIMITED_V1,NONE,LIVE_COLLECTOR_PASS,API_SUBSCRIPTION_BLOCKED_354_2188,NONE,READ_ONLY_LIVE_COLLECTION
