build_order,id,priority,category,system_name,formal_parent,governance_authority,engineering_state,core_function,dependency,implementation_path,evidence_state,blocker,next_work_order,acceptance_gate,external_action_authority,last_verified_at
1,P0-01,P0,Governance,Radar Program Registry,CRT Master V1.9,CANDIDATE_UNMERGED,LOCAL_OFFLINE_COMPLETE_GITHUB_BLOCKED,Unique inventory/version/dependency/status registry,NONE,registry/RADAR_SYSTEM_REGISTRY.csv; scripts/validate_program_registry.py,LOCAL_VERIFIED,GitHub write blocked; Codex quota reset pending,WO-P0-02,"No duplicate IDs; all modules have status,parent,owner,gate",NONE,2026-08-01T09:30:00+08:00
2,P0-02,P0,Repository,Formal Baseline Isolated Import,CRT Master V1.9,V1.9_FORMAL_PRESERVED,LOCAL_WORKSPACE_COMPLETE_GITHUB_BLOCKED,Bring formal evidence into reproducible external workspace without changing SSOT,P0-01,LINEAGE/; STATUS/WORKSPACE_STATE.json,LOCAL_VERIFIED,GitHub isolated branch not created,WO-P0-02-GITHUB-IMPORT,Hashes recorded; candidate/formal separated; main untouched,NONE,2026-08-01T09:30:00+08:00
3,P0-03,P0,Safety,Executable Production Safety Contract,CRT Master V1.9,FORMAL_RULES_PRESERVED,OFFLINE_PASS_LIVE_NOT_RUN,Critical missing/stale/schema failures always BLOCKED/NONE,P0-02,src/crt_radar/; tests/,LOCAL_VERIFIED,External 24h Live Shadow not run,WO-RADAR-MIG-003,Negative tests reproduce gaps then pass only after implementation fix,NONE,2026-08-01T09:30:00+08:00
4,P0-04,P0,Data Governance,Unified Source Contract Registry,CRT Master V1.9,CANDIDATE_UNMERGED,PARTIAL_CURRENT_SOURCES_ONLY,One source truth for endpoint/schema/freshness/criticality/fallback,P0-03,CONFIG/SOURCE_REGISTRY_V1.2.json,NOT_VERIFIED,Full L1-L6 source responsibility matrix incomplete,WO-P0-04-EXPAND,Config=Contract=Runner; responsibility matrix complete,NONE,2026-08-01T09:30:00+08:00
5,P0-05,P0,Evidence,Snapshot Evidence and Run Ledger,CRT Master V1.9,CANDIDATE_UNMERGED,OFFLINE_PASS_LIVE_NOT_RUN,Immutable raw snapshot/hash/run ID/lineage/result persistence,P0-04,src/crt_radar/run_ledger.py; src/crt_radar/live_shadow_evidence.py,LOCAL_VERIFIED,External 24h Live Shadow not run,WO-RADAR-MIG-003,Replay same Run ID; manifest and hashes verify,NONE,2026-08-01T09:30:00+08:00
6,P0-06,P0,Data Quality,Schema Freshness Retry Engine,CRT Master V1.9,FORMAL_RULES_PRESERVED,OFFLINE_PASS_CURRENT_SOURCES,No zero-fill; stale/schema/timeout fail closed with retry/backoff,P0-05,src/crt_radar/source_gate_runner.py; tests/,LOCAL_VERIFIED,Coverage limited to implemented source families,WO-P0-04-EXPAND,Fault injection suite all PASS,NONE,2026-08-01T09:30:00+08:00
7,P1-01,P1,L4 Leverage,OI Funding Liquidation Engine,CRT Master V1.9,FORMAL_L4_RULES_PRESERVED,OFFLINE_E2E_PASS_READY_LIVE_SHADOW,Complete critical leverage layer,P0-06,src/crt_radar/liquidation_aggregator.py; src/crt_radar/liquidation_collector.py,LOCAL_VERIFIED,Persistent networked host unavailable,WO-RADAR-MIG-003,All three inputs present or layer BLOCKED,NONE,2026-08-01T09:30:00+08:00
8,P1-02,P1,L1 Macro,Generic Official Release Engine,CRT Master V1.9,FORMAL_INTENT,SPEC_ONLY,Update CPI/PPI/Jobs/FOMC across releases,P0-06,NONE,NOT_VERIFIED,Generic multi-release parser not implemented,WO-P1-02,Next-release fixtures parse; stale release blocked,NONE,2026-08-01T09:30:00+08:00
9,P1-03,P1,L2 Dollar Rates,FRED Broad Dollar and Yield Engine,CRT Master V1.9,FORMAL_INTENT,PARTIAL_SOURCE_GATE,Daily dollar/rates layer,P0-06,CONFIG/SOURCE_REGISTRY_V1.2.json,NOT_VERIFIED,Yield curve family incomplete,WO-P1-03,Fresh official series and fallback behavior verified,NONE,2026-08-01T09:30:00+08:00
10,P1-04,P1,L3 Credit Liquidity,ETF Stablecoin Credit Liquidity Engine,CRT Master V1.9,FORMAL_INTENT,NOT_STARTED,Measure risk fuel/defense and credit liquidity,P0-06,NONE,NOT_VERIFIED,Source contracts and formulas not locked in current workspace,WO-P1-04,Sources fixed; family de-duplication; reproducible output,NONE,2026-08-01T09:30:00+08:00
11,P1-05,P1,L5 Onchain Value,MVRV NUPL Realized Cap Engine,CRT Master V1.9,FORMAL_INTENT,PARTIAL_SOURCE_DECLARATION,Locally recompute onchain value/capitulation inputs,P0-06,CONFIG/SOURCE_REGISTRY_V1.2.json,NOT_VERIFIED,CoinMetrics parser and formula engine absent,WO-P1-05,Formula tests and fresh source snapshots PASS,NONE,2026-08-01T09:30:00+08:00
12,P1-06,P1,L6 Price Structure,BTC Price Volume MA ATR CVD Engine,CRT Master V1.9,FORMAL_INTENT,BLOCKED_SPEC_CONFLICT,Reproducible price-structure layer,P0-06,NONE,NOT_VERIFIED,ATR requirement conflict and CVD source unresolved,WO-P1-06-SPEC,ATR/CVD sources fixed; schema conflict resolved,NONE,2026-08-01T09:30:00+08:00
